,Accession,Score,p_Val (-log10),Group1_R2,Group2_R2,RSS_Null,RSS_Alt,RSS_Diff
86,CASP3,0.0,,0.722,0.0,,,
83,CALR,0.0,,0.0,0.0,,,
169,EVI2B,0.0,,0.011,0.0,,,
82,CADM4,0.0,,0.825,0.774,,,
48,ATP1A1,0.0,,,,,,
45,ATP11B,0.0,,0.39,0.389,,,
44,ATP11A,0.0,,0.817,0.757,,,
40,APOE,0.0,,0.219,0.187,,,
39,APOB48R,0.0,,0.0,0.0,,,
38,APOA1BP,0.0,,0.605,0.079,,,
37,APLP2,0.0,,0.204,0.104,,,
28,ANTXR2,0.0,,0.336,0.389,,,
27,ANPEP,0.0,,0.824,0.726,,,
23,ALS2CR4,0.0,,0.004,0.0,,,
22,ALCAM,0.0,,0.704,0.631,,,
21,AHSG,0.0,,0.0,0.0,,,
20,AHNAK,0.0,,0.505,0.487,,,
9,ACOX1,0.0,,0.0,0.0,,,
4,ABCC10,0.0,,0.0,0.0,,,
53,ATP2B4,0.0,,0.827,0.77,,,
54,ATP5A1,0.0,,0.151,0.265,,,
55,ATP5B,0.0,,0.541,0.606,,,
68,B4GALNT1,0.0,,0.865,0.373,,,
80,C8ORF55,0.0,,0.0,0.0,,,
79,C20ORF3,0.0,,0.75,0.656,,,
76,C11ORF59,0.0,,0.721,0.542,,,
74,BST2,0.0,,0.397,0.409,,,
73,BSG,0.0,,0.707,0.642,,,
70,BCAP31,0.0,,0.0,0.0,,,
67,B2M,0.0,,0.0,0.0,,,
56,ATP5O,0.0,,0.458,0.551,,,
65,ATPIF1,0.0,,0.0,0.0,,,
61,ATP6V1A,0.0,,0.729,0.901,,0.52,
60,ATP6V0D1,0.0,,0.051,0.076,,,
59,ATP6V0A2,0.0,,0.488,0.342,,,
58,ATP6V0A1,0.0,,0.45,0.547,,,
57,ATP6AP1,0.0,,0.0,0.0,,,
167,ERP29,0.0,,0.6,0.778,,,
190,GGH,0.0,,0.0,0.0,,,
381,RHAG,0.0,,0.0,0.0,,,
306,NCSTN,0.0,,0.258,0.177,,,
341,PODXL2,0.0,,0.554,0.535,,,
335,PLXDC2,0.0,,0.593,0.769,,,
334,PLP2,0.0,,0.0,0.127,,,
333,PLAUR,0.0,,0.62,0.428,,,
331,PKM2,0.0,,,,,0.582,
328,PFKM,0.0,,0.772,0.796,,,
327,PDIA6,0.0,,0.449,0.814,,,
326,PDIA4,0.0,,0.734,0.898,,0.42,
322,PANX1,0.0,,0.419,0.345,,,
319,P4HB,0.0,,0.0,0.0,,,
318,P2RY1,0.0,,0.851,0.785,,0.274,
316,ORAI1,0.0,,0.835,0.793,,0.271,
315,NUCB2,0.0,,0.0,0.0,,,
311,NRAS,0.0,,0.0,0.0,,,
310,NPTN,0.0,,0.768,0.709,,,
344,PRCP,0.0,,0.0,0.0,,,
347,PRNP,0.0,,0.655,0.602,,,
359,PTTG1IP,0.0,,0.0,0.0,,,
371,RAB8A,0.0,,0.0,0.0,,,
380,RER1,0.0,,0.659,0.836,,,
379,RELL1,0.0,,0.758,0.704,,,
378,REEP5,0.0,,0.0,0.0,,,
375,RAP2B,0.0,,0.0,0.0,,,
374,RAP1B,0.0,,0.0,0.0,,,
372,RAC1,0.0,,0.0,0.184,,,
370,RAB6A,0.0,,0.159,0.065,,,
362,QSOX2,0.0,,0.725,0.544,,,
369,RAB5C,0.0,,0.0,0.0,,,
368,RAB5B,0.0,,0.0,0.0,,,
367,RAB5A,0.0,,0.0,0.0,,,
365,RAB35,0.0,,0.131,0.127,,,
364,RAB21,0.0,,0.114,0.061,,,
363,RAB14,0.0,,0.0,0.272,,,
309,NPC1,0.0,,0.0,0.0,,,
305,NCAM2,0.0,,0.918,0.775,,0.435,
193,GLB1L2,0.0,,0.727,0.217,,,
299,MUC1,0.0,,0.906,0.685,,,
243,ITFG1,0.0,,0.61,0.483,,,
230,IFNGR1,0.0,,0.047,0.022,,,
223,HSPD1,0.0,0.0,0.964,0.952,0.215,0.216,0.0
220,HSPA5,0.0,,0.0,0.346,,,
219,HSP90B1,0.0,,0.344,0.599,,,
216,HSD17B11,0.0,,0.108,0.269,,,
213,HN1L,0.0,,0.848,0.797,,0.431,
211,HMGB1,0.0,,0.906,0.797,,0.428,
210,HM13,0.0,,0.0,0.0,,,
207,HDLBP,0.0,,0.852,0.66,,,
204,GSR,0.0,,0.0,0.0,,,
203,GPRC5C,0.0,,0.159,0.295,,,
202,GPRC5B,0.0,,0.901,0.782,,0.59,
198,GOT2,0.0,,0.0,0.0,,,
194,GLG1,0.0,,0.0,0.0,,,
249,ITGB1,0.0,,0.374,0.353,,,
252,ITGB5,0.0,,0.856,0.695,,,
254,KARS,0.0,,0.93,0.771,,0.559,
270,LRPAP1,0.0,,0.011,0.0,,,
292,MPDU1,0.0,,0.0,0.0,,,
287,MESDC2,0.0,,0.631,0.886,,,
285,MDH2,0.0,,0.796,0.959,,0.581,
282,MARCKSL1,0.0,,0.0,0.0,,,
281,MAP4,0.0,,0.0,0.0,,,
278,M6PR,0.0,,0.0,0.0,,,
267,LNPEP,0.0,,0.0,0.0,,,
255,KCNN4,0.0,,0.886,0.145,,,
266,LMAN2,0.0,,0.809,0.721,,,
264,LEPR,0.0,0.001,0.899,0.888,0.339,0.339,0.0
263,LDLR,0.0,,0.492,0.653,,,
261,LANCL1,0.0,,0.575,0.432,,,
260,LAMP2,0.0,,0.0,0.0,,,
259,LAMP1,0.0,,0.0,0.0,,,
265,LGALS1,0.0,,0.18,0.553,,,
